
àlkent	?
arall	all
àrnezhe	warnezhe
àrni	warni
arru	erru
àr	war
ataw	atav
aveid	evit
bamdé	bemdez
berpet	bepred
betak	betek
beteg	betek
beviñ	bevañ
blez	bloaz
bout	bezañ
bremen	bremañ
c'hellahe	c'hellfe
chetu	setu
dé	deiz
déh	dec'h
dehe	defe
dein	din
deoh	deoc'h
dianav	dianv
diàr	diwar
diskoueziñ	diskouez
doc'h	diouzh
doh	deoc'h
éc'h	oc'h
eged	eget
eh ahe	ez afe
eh eus	ez eus
eit	evit
èl	evel
é	o
erbet	ebet
eus pe	eus peseurt
evid	evit
fonnabl	fonnus
genein	ganin
genin	ganin
genoc'h	ganeoc'h
genoh	ganeoc'h
getañ	gantañ
gete	ganto
get	gant
getoñ	ganin
gober	ober
gouian	goañv
gouiañv	goañv
gouiet	gouzout
Gouil-Mikél	Here
gouvezet	gouezet
guelet	gwelet
Guéned	Gwened
hañval	heñvel
hebkén	hepken
hiaul	heol
hiziw	hiziv
hui	c'hwi
hwi	c'hwi
ihuél	uhel
iouank	yaouank
istoer	istor
kani	an hini
kelennerion	kelennerien
kleùet	klevet
koh	kozh
lakaad	lakaat
mam	ma
marsen	marteze
memez	memes
men	ma
menn	pelec'h
moned	mont
monet	mont
nameit	nemet
nend	n'ez
neoazh	koulskoude
newazh  koulskoude
oe	oa
oll	holl
ouia    oar
predegennoù	prezegennoù
seùel	sevel
skriviñ	skrivañ
vehent	vefent
vehe    vefe
veviñ	vevañ
vlez	vloaz
vonet   vont
vout	vezañ
vout    vezañ
zou zo
