aliez	alies
amser	amzer
araog	a-raok
atao	atav
avoualc’h	a-walc’h
bardoun	bardon
beva	bevañ
beza	bezañ
brema	bremañ
brezonek	brezhoneg
c’haloun	c’halon
c’hoaz	c’hoazh
c’houi	c’hwi
d’heoc’h	deoc’h
d’heomp	deomp
d’ezhan	dezhañ
d’ezho	dezho
deuz	deus
koumpren	kompren
liou	liv
ennhan	ennañ
digaloun	digalon
diou	div
divar	diwar
dourn	dorn
ell	c’hell
ennho	enno
epad	e-pad
eul	ul
eun	un
eur	ur
euz	eus
evitho	evito
fardoun	fardon
galoun	galon
ganthan	gantañ
ganthi	ganti
great	graet
gueach	gwech
guelet   gwelet
guelit	gwelit
guel	gwel
guell	gwell
guella	gwellañ
guelloc’h	gwelloc’h
guiniz	gwinizh
guir	gwir
guirion	gwirion
hebet	ebet
beteg	betek
heur	eur
hirio	hiziv
ia	ya
iec’hed	yec’hed
ive	ivez
jomm	chom
kaloun	kalon
kals	kalz
kenta	kentañ
kear	kaer
diou	div
leac’h	lec’h
lakeat	lakaet
leor	levr
mad	mat
maro	marv
mignoun	mignon
nemethan	nemetañ
n’euz	n’eus
oun	on
ouspenn	ouzhpenn
ouspen	ouzhpenn
peger	pegen
ouz	ouzh
pardoun	pardon
peleac’h	pelec’h
penaoz	penaos
persoun	person
piou	piv
poania	poaniañ
red	ret
sarmoun	sarmon
siouaz	siwazh
sounj	soñj
sounjal	soñjal
var	war
veach	wech
veza	vezañ
vignoun	vignon
zounj	zoñj
zourn	zorn
