all	arall
atav	ataw
betek	betak
bevañ	beviñ
bezañ	bout
bloaz	blez
c'hellfe	c'hellahe
c'hwi	hwi
defe	dehe
deiz	dé
deoc'h	deoh
dianv	dianav
diouzh	doc'h
diskouez	diskoueziñ
diwar	diàr
ebet	erbet
eget	eged
erru	arru
evel	èl
evit	aveid
fonnus	fonnabl
ganeoc'h	genoc'h
ganin	genein
gantañ	getañ
gant	get
ganto	gete
goañv	gouiañv
gouezet	gouvezet
gouzout	gouiet
heñvel	hañval
hepken	hebkén
hiziv	hiziw
holl	oll
istor	istoer
kelennerien	kelennerion
koulskoude	neoazh
kozh	koh
lakaat	lakaad
ma	mam
marteze	marsen
memes	memez
mont	moned
nemet	nameit
n'ez	nend
oa	oe
ober	gober
oc'h	éc'h
o	é
pelec'h	menn
prezegennoù	predegennoù
skrivañ	skriviñ
vefent	vehent
vevañ	veviñ
vloaz	vlez
war	àr
warnezhe	àrnezhe
warni	àrni

